ENSEMBL,avg,datos...2.,datos...2..1,datos...2..2,datos...2..3,datos...2..4,datos...2..5,datos...2..6,datos...2..7,datos...2..8,datos...2..9,datos...2..10,datos...2..11,datos...2..12,datos...2..13
ENSG00000078114,3.83946127456166,3.84001344204637,3.7601236612345,4.86263957654222,4.86263957654222,4.65081028629895,4.24528755975375,3.91110665812479,3.57682183386836,3.94244567264348,3.88859391635963,4.61469493444165,3.48567646332365,3.65321702693441,3.79099719857005
ENSG00000179915,5.08452669940246,3.13254222337517,3.37112944921023,3.89098655525808,3.89098655525808,3.7066900276302,3.98096838140036,4.59445042733665,4.13149279770268,4.11618668036044,4.7082129810909,1.82392844628389,3.89173653726081,4.91140104768858,4.68811130023241
ENSG00000114757,3.41655020806647,2.74106519295654,4.09567658786208,3.52853905030869,3.52853905030869,3.68712984367007,3.95612375338336,3.9957481824131,3.48193340692573,3.35622910983214,4.49764858678563,3.77622689026345,3.24276485518745,3.79271488025598,3.97670746550167
ENSG00000154217,4.39977776694966,4.11107484210073,4.0632071197272,3.63409958656968,3.63409958656968,3.87481298735191,3.8403141472346,3.97739265903568,4.00854730223664,4.46422606057282,4.04047624920057,2.47107959428915,4.35417540146057,4.31594325154022,3.97968521253862
ENSG00000123560,4.19888294882706,1.63273583903798,3.55489021183431,2.35408099826848,2.35408099826848,2.76098040146013,3.14674363227241,2.64576009568505,3.84219838904373,3.22372973198981,4.40981844925704,2.05936244113959,3.87416170681773,4.5748416490136,5.12627280478691
ENSG00000106772,3.43219851433341,3.01516392420319,4.14134257172067,3.24416645182746,3.24416645182746,3.77583199101503,3.6824352541762,4.39715399396886,3.29537345150954,3.29806386668132,4.03574730391806,3.54945333122703,3.85232996671568,3.47002632273126,3.95867507061864
ENSG00000187147,4.5611874556608,3.31080017848159,4.66436773071395,3.08930890379693,3.08930890379693,4.0658577408968,3.69269608074169,4.69038122675682,4.42638425595669,3.58852268459854,4.24693501419149,3.86319129723246,4.45902782566132,4.43254851712646,4.26538266096927
ENSG00000159216,2.92003844545712,3.37980587290525,3.47946070740287,3.57910983256397,3.57910983256397,3.28470838804984,3.85325347037203,4.51986783627351,3.79168266759592,4.4825994934532,3.53859650048908,2.92433172464268,4.52588179264256,3.77711710706426,4.01664944747661
ENSG00000110436,5.8520763982476796,3.64943534718019,4.64240155764251,3.99696007963872,3.99696007963872,3.6765056317124,4.25852425000083,4.78297742427167,4.98736968098106,4.98892713916908,5.01083993588681,3.46147822715553,4.57895936024745,5.81682725835273,5.41771819518062
ENSG00000155886,4.15041585745179,3.25299362772504,4.39620135524069,3.49659716798867,3.49659716798867,4.02607373338316,3.82596705419769,4.14437420080193,4.36767855146377,3.70702201103428,4.50481949638331,3.62692326127559,4.63324023636031,4.93128737994804,4.93201047694663
ENSG00000147488,4.76101278790091,3.03554971495748,4.99360516536712,3.42605461955104,3.42605461955104,4.23883001996683,4.1317350313136,5.0544079982712,4.8360340834022,3.92356357367446,4.83506430336167,3.31349119666407,4.82104382951559,5.12212423136203,5.22872434519658
ENSG00000073849,4.62193504575308,2.16433181234689,3.98386269804263,2.05930080728152,2.05930080728152,1.76185198335771,3.48634816454647,4.75516991994197,4.41859053376096,4.51333848580939,4.17209362483134,0.714136664159744,4.36339093770119,4.61842064770369,4.27003626053048
sex,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
condition,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0
